id,category,subcategory,material_name,manufacturer,process,density,yield_strength,uts,elongation,modulus,hardness,thermal_conductivity,C,O,Fe,Cr,Ni,Mo,Mn,Si,Cu,Al,Ti,V,Co,W,Nb,N,P,S,Mg,Zn,Sn,Be,Ta,La,Ce,fatigue_strength,impact_strength,corrosion_resistance,machinability,weldability,heat_treatment,source
M_001041,Metal,Alloy Steel,AISI 5130 (Normalized),Generic,Wrought,7.85,369.35,498.4,23.5,210.0,151.3,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001056,Metal,Alloy Steel,AISI 5130 (Precipitation Hardened),Generic,Wrought,7.85,423.3,571.2,21.75,210.0,173.4,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001042,Metal,Alloy Steel,AISI 5130 (Quenched),Generic,Wrought,7.85,361.05,487.2,25.5,210.0,147.9,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001047,Metal,Alloy Steel,AISI 5130 (Solution Treated),Generic,Wrought,7.85,402.55,543.1999999999999,20.5,210.0,164.9,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001046,Metal,Alloy Steel,AISI 5130 (Stress Relief),Generic,Wrought,7.85,473.1,638.4,27.25,210.0,193.8,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001055,Metal,Alloy Steel,AISI 5130 (Stress Relieved),Generic,Wrought,7.85,390.1,526.4,27.25,210.0,159.79999999999998,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001043,Metal,Alloy Steel,AISI 5130 (Tempered (200°C)),Generic,Wrought,7.85,419.15,565.6,24.0,210.0,171.7,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001044,Metal,Alloy Steel,AISI 5130 (Tempered (400°C)),Generic,Wrought,7.85,444.05,599.2,25.5,210.0,181.9,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001045,Metal,Alloy Steel,AISI 5130 (Tempered (600°C)),Generic,Wrought,7.85,435.75,588.0,25.0,210.0,178.5,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001068,Metal,Alloy Steel,AISI 5140 (Aged (150°C)),Generic,Wrought,7.85,724.2,1020.0,18.19,210.0,285.6,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001069,Metal,Alloy Steel,AISI 5140 (Aged (200°C)),Generic,Wrought,7.85,674.5,950.0,13.6,210.0,266.0,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001060,Metal,Alloy Steel,AISI 5140 (Annealed),Generic,Wrought,7.85,624.8,880.0,15.81,210.0,246.4,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001072,Metal,Alloy Steel,AISI 5140 (As-Cast),Generic,Wrought,7.85,781.0000000000001,1100.0,14.45,210.0,308.0,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001071,Metal,Alloy Steel,AISI 5140 (As-Forged),Generic,Wrought,7.85,710.0,1000.0,16.15,210.0,280.0,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001070,Metal,Alloy Steel,AISI 5140 (As-Rolled),Generic,Wrought,7.85,610.6,860.0,13.77,210.0,240.8,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001077,Metal,Alloy Steel,AISI 5140 (Austenitic),Generic,Wrought,7.85,788.0999999999999,1109.9999999999998,18.02,210.0,310.79999999999995,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001073,Metal,Alloy Steel,AISI 5140 (Cold Rolled),Generic,Wrought,7.85,809.4,1140.0,18.53,210.0,319.2,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001078,Metal,Alloy Steel,AISI 5140 (Ferritic),Generic,Wrought,7.85,738.4,1040.0,13.429999999999998,210.0,291.2,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001074,Metal,Alloy Steel,AISI 5140 (Hot Rolled),Generic,Wrought,7.85,766.8000000000001,1080.0,17.51,210.0,302.40000000000003,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001079,Metal,Alloy Steel,AISI 5140 (Martensitic),Generic,Wrought,7.85,788.0999999999999,1109.9999999999998,16.32,210.0,310.79999999999995,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001061,Metal,Alloy Steel,AISI 5140 (Normalized),Generic,Wrought,7.85,631.9,890.0,15.98,210.0,249.2,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001076,Metal,Alloy Steel,AISI 5140 (Precipitation Hardened),Generic,Wrought,7.85,724.2,1020.0,14.79,210.0,285.6,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001062,Metal,Alloy Steel,AISI 5140 (Quenched),Generic,Wrought,7.85,617.7,870.0,17.34,210.0,243.6,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001067,Metal,Alloy Steel,AISI 5140 (Solution Treated),Generic,Wrought,7.85,688.6999999999999,970.0,13.94,210.0,271.6,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001066,Metal,Alloy Steel,AISI 5140 (Stress Relief),Generic,Wrought,7.85,809.4,1140.0,18.53,210.0,319.2,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001075,Metal,Alloy Steel,AISI 5140 (Stress Relieved),Generic,Wrought,7.85,667.4,940.0,18.53,210.0,263.2,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001063,Metal,Alloy Steel,AISI 5140 (Tempered (200°C)),Generic,Wrought,7.85,717.1,1010.0,16.32,210.0,282.8,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001064,Metal,Alloy Steel,AISI 5140 (Tempered (400°C)),Generic,Wrought,7.85,759.7,1070.0,17.34,210.0,299.6,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001065,Metal,Alloy Steel,AISI 5140 (Tempered (600°C)),Generic,Wrought,7.85,745.5,1050.0,17.0,210.0,294.0,42.0,0.4,0.0,96.5,0.8,0.0,0.15,0.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001088,Metal,Alloy Steel,AISI 6150 (Aged (150°C)),Generic,Wrought,7.85,816.0,1122.0,13.909999999999998,210.0,316.2,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001089,Metal,Alloy Steel,AISI 6150 (Aged (200°C)),Generic,Wrought,7.85,760.0,1045.0,10.4,210.0,294.5,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001080,Metal,Alloy Steel,AISI 6150 (Annealed),Generic,Wrought,7.85,704.0,968.0,12.09,210.0,272.8,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001092,Metal,Alloy Steel,AISI 6150 (As-Cast),Generic,Wrought,7.85,880.0000000000001,1210.0,11.05,210.0,341.0,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001091,Metal,Alloy Steel,AISI 6150 (As-Forged),Generic,Wrought,7.85,800.0,1100.0,12.35,210.0,310.0,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001090,Metal,Alloy Steel,AISI 6150 (As-Rolled),Generic,Wrought,7.85,688.0,946.0,10.53,210.0,266.6,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001097,Metal,Alloy Steel,AISI 6150 (Austenitic),Generic,Wrought,7.85,887.9999999999999,1220.9999999999998,13.78,210.0,344.1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001093,Metal,Alloy Steel,AISI 6150 (Cold Rolled),Generic,Wrought,7.85,912.0,1254.0,14.169999999999998,210.0,353.4,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001098,Metal,Alloy Steel,AISI 6150 (Ferritic),Generic,Wrought,7.85,832.0,1144.0,10.27,210.0,322.40000000000003,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001094,Metal,Alloy Steel,AISI 6150 (Hot Rolled),Generic,Wrought,7.85,864.0,1188.0,13.39,210.0,334.8,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001099,Metal,Alloy Steel,AISI 6150 (Martensitic),Generic,Wrought,7.85,887.9999999999999,1220.9999999999998,12.48,210.0,344.1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001081,Metal,Alloy Steel,AISI 6150 (Normalized),Generic,Wrought,7.85,712.0,979.0,12.22,210.0,275.9,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001096,Metal,Alloy Steel,AISI 6150 (Precipitation Hardened),Generic,Wrought,7.85,816.0,1122.0,11.31,210.0,316.2,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001082,Metal,Alloy Steel,AISI 6150 (Quenched),Generic,Wrought,7.85,696.0,957.0,13.26,210.0,269.7,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001087,Metal,Alloy Steel,AISI 6150 (Solution Treated),Generic,Wrought,7.85,776.0,1067.0,10.66,210.0,300.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001086,Metal,Alloy Steel,AISI 6150 (Stress Relief),Generic,Wrought,7.85,912.0,1254.0,14.169999999999998,210.0,353.4,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001095,Metal,Alloy Steel,AISI 6150 (Stress Relieved),Generic,Wrought,7.85,752.0,1034.0,14.169999999999998,210.0,291.4,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001083,Metal,Alloy Steel,AISI 6150 (Tempered (200°C)),Generic,Wrought,7.85,808.0,1111.0,12.48,210.0,313.1,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001084,Metal,Alloy Steel,AISI 6150 (Tempered (400°C)),Generic,Wrought,7.85,856.0,1177.0,13.26,210.0,331.70000000000005,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001085,Metal,Alloy Steel,AISI 6150 (Tempered (600°C)),Generic,Wrought,7.85,840.0,1155.0,13.0,210.0,325.5,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001108,Metal,Alloy Steel,AISI 8620 (Aged (150°C)),Generic,Wrought,7.85,423.3,571.2,26.75,210.0,173.4,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001109,Metal,Alloy Steel,AISI 8620 (Aged (200°C)),Generic,Wrought,7.85,394.25,532.0,20.0,210.0,161.5,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001100,Metal,Alloy Steel,AISI 8620 (Annealed),Generic,Wrought,7.85,365.2,492.8,23.25,210.0,149.6,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001112,Metal,Alloy Steel,AISI 8620 (As-Cast),Generic,Wrought,7.85,456.50000000000006,616.0,21.25,210.0,187.00000000000003,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001111,Metal,Alloy Steel,AISI 8620 (As-Forged),Generic,Wrought,7.85,415.0,560.0,23.75,210.0,170.0,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001110,Metal,Alloy Steel,AISI 8620 (As-Rolled),Generic,Wrought,7.85,356.9,481.6,20.25,210.0,146.2,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001117,Metal,Alloy Steel,AISI 8620 (Austenitic),Generic,Wrought,7.85,460.6499999999999,621.5999999999999,26.5,210.0,188.7,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001113,Metal,Alloy Steel,AISI 8620 (Cold Rolled),Generic,Wrought,7.85,473.1,638.4,27.25,210.0,193.8,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001118,Metal,Alloy Steel,AISI 8620 (Ferritic),Generic,Wrought,7.85,431.6,582.4,19.75,210.0,176.8,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001114,Metal,Alloy Steel,AISI 8620 (Hot Rolled),Generic,Wrought,7.85,448.2000000000001,604.8000000000001,25.75,210.0,183.6,42.0,0.3,0.0,98.5,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
